"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test checks successful validation when uploading a valid PNG image","432","imgUploadPositive","TestSuite","Thu Feb 12 16:53:55 UTC 2026","passed","Thu Feb 12 16:53:56 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadPositive"
"","1422","checkOneTagSelection","TestSuite","Thu Feb 12 16:54:41 UTC 2026","passed","Thu Feb 12 16:54:42 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkOneTagSelection"
"Verify that the publish button is enabled and the warning disappears when the content is valid","31782","verifyContentValidationAndPublishButtonLogicValidContent","TestSuite","Thu Feb 12 16:52:29 UTC 2026","broken","Thu Feb 12 16:53:01 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogicValidContent"
"Verify that the publish button is disabled and a warning is displayed when the content is shorter than 20 characters","178","verifyContentValidationAndPublishButtonLogic20","TestSuite","Thu Feb 12 16:52:28 UTC 2026","passed","Thu Feb 12 16:52:28 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic20"
"","1482","signInTest","TestSuite","Thu Feb 12 16:56:19 UTC 2026","passed","Thu Feb 12 16:56:21 UTC 2026","org.greencity.api.OwnSecurityTest","API Tests","org.greencity.api.OwnSecurityTest","signInTest"
"Verify that news can be published with empty Source field","8664","SourceFieldValidation","TestSuite","Thu Feb 12 16:53:39 UTC 2026","passed","Thu Feb 12 16:53:48 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldValidation"
"Verify validation logic for invalid Source field and successful publish after correction","31449","SourceFieldNonValidValidation","TestSuite","Thu Feb 12 16:53:07 UTC 2026","broken","Thu Feb 12 16:53:39 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation"
"","1124","checkFourTagsSelection","TestSuite","Thu Feb 12 16:54:38 UTC 2026","passed","Thu Feb 12 16:54:39 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkFourTagsSelection"
"Verify that the Preview page displays the correct news title, content, author name, and creation date, and that the 'Back to Create News' button redirects correctly","822","checkPreviewPage","TestSuite","Thu Feb 12 16:54:02 UTC 2026","failed","Thu Feb 12 16:54:03 UTC 2026","org.greencity.ui.CreateNews.PreviewPageTest","UI Tests","org.greencity.ui.CreateNews.PreviewPageTest","checkPreviewPage"
"","1237","secondTest","TestSuite","Thu Feb 12 16:54:24 UTC 2026","passed","Thu Feb 12 16:54:25 UTC 2026","org.greencity.ui.FirstTest","UI Tests","org.greencity.ui.FirstTest","secondTest"
"Verify that the content field validation fails for too short input and passes for valid content","580","verifyTooShortContent","TestSuite","Thu Feb 12 16:53:03 UTC 2026","passed","Thu Feb 12 16:53:03 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyTooShortContent"
"Verify that the Create News form contains the particular fields in Ukrainian locale","8235","verifyCreateNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Thu Feb 12 16:52:12 UTC 2026","passed","Thu Feb 12 16:52:20 UTC 2026","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestUA","verifyCreateNewsFormFieldsVisibilityInUkrainianLocale"
"The test checks validation error when uploading a GIF image (unsupported format)","157","imgUploadGIFNegative","TestSuite","Thu Feb 12 16:53:55 UTC 2026","passed","Thu Feb 12 16:53:55 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadGIFNegative"
"","1657","isLogin","TestSuite","Thu Feb 12 16:54:29 UTC 2026","passed","Thu Feb 12 16:54:31 UTC 2026","org.greencity.ui.FirstTestWithUser","UI Tests","org.greencity.ui.FirstTestWithUser","isLogin"
"Verify that the Create News form contains the particular fields in English locale","9409","verifyCreateNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Thu Feb 12 16:52:11 UTC 2026","passed","Thu Feb 12 16:52:21 UTC 2026","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.CreateNews.CreateNewsFormVisibilityTestEN","verifyCreateNewsFormFieldsVisibilityInEnglishLocale"
"The test checks validation when loading an image that is too large","140","imgUploadTooLargeNegative","TestSuite","Thu Feb 12 16:54:02 UTC 2026","passed","Thu Feb 12 16:54:02 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadTooLargeNegative"
"Verify that the Edit News form contains the particular fields in Ukrainian locale","11703","verifyEditNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Thu Feb 12 16:54:09 UTC 2026","passed","Thu Feb 12 16:54:21 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","verifyEditNewsFormFieldsVisibilityInUkrainianLocale"
"Verify that the Edit News form contains the particular fields in English locale","12183","verifyEditNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Thu Feb 12 16:54:10 UTC 2026","passed","Thu Feb 12 16:54:22 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","verifyEditNewsFormFieldsVisibilityInEnglishLocale"
"Verify the validation of the title field","1245","verifyTitleFieldAndPublishButtonLogic","TestSuite","Thu Feb 12 16:53:46 UTC 2026","passed","Thu Feb 12 16:53:48 UTC 2026","org.greencity.ui.CreateNews.TitleValidationTest","UI Tests","org.greencity.ui.CreateNews.TitleValidationTest","verifyTitleFieldAndPublishButtonLogic"
"","1141","checkThreeTagsSelection","TestSuite","Thu Feb 12 16:54:44 UTC 2026","passed","Thu Feb 12 16:54:45 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection"
"Stress test: verify that the content is truncated correctly to 63,206 symbols","1","verifyContentValidationAndPublishButtonLogic63206","TestSuite","Thu Feb 12 16:51:54 UTC 2026","unknown","Thu Feb 12 16:51:54 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic63206"
"Verify that clicking the Cancel button during editing triggers a confirmation modal, and selecting 'Yes, cancel' closes the editor","121078","CancelEditing","TestSuite","Thu Feb 12 16:54:18 UTC 2026","passed","Thu Feb 12 16:56:19 UTC 2026","org.greencity.ui.EditNews.CancelEditingTest","UI Tests","org.greencity.ui.EditNews.CancelEditingTest","CancelEditing"
"Verify that clicking the Cancel button triggers a confirmation modal, and selecting 'Yes, cancel' closes the form and redirects to the EcoNews page","121486","testCancelButtonBehavior","TestSuite","Thu Feb 12 16:52:11 UTC 2026","passed","Thu Feb 12 16:54:13 UTC 2026","org.greencity.ui.CreateNews.CancelCreatingTest","UI Tests","org.greencity.ui.CreateNews.CancelCreatingTest","testCancelButtonBehavior"
"","1614","isLogin","TestSuite","Thu Feb 12 16:54:22 UTC 2026","passed","Thu Feb 12 16:54:24 UTC 2026","org.greencity.ui.FirstTest","UI Tests","org.greencity.ui.FirstTest","isLogin"
"","2264","isUserLoggedIn","TestSuite","Thu Feb 12 16:54:31 UTC 2026","broken","Thu Feb 12 16:54:34 UTC 2026","org.greencity.ui.FirstTestWithUser","UI Tests","org.greencity.ui.FirstTestWithUser","isUserLoggedIn"
