"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EcoNews Management","Edit existing news","Verify author can edit their own news and changes are saved","0","0","1","0","0"
"EcoNews Management","Create News Preview","Verify preview page displays correct title, content, author and date","0","0","1","0","0"
"EcoNews Management","Create News","Image upload validation for oversized files","0","0","3","0","0"
"","","","0","0","5","0","0"
"EcoNews Management","Edit existing news","Verify that only the author can see the 'Edit news' button","0","0","2","0","0"
"EcoNews Management","Create News","Source field validation","0","1","1","1","0"
"EcoNews Management","Create News","Content field validation","0","0","3","0","1"
"EcoNews Management","Edit news page","Cancel editing behavior","0","0","1","0","0"
"EcoNews Management","Edit news page","Empty title field validation","0","0","1","0","0"
"EcoNews Management","Create News","Title field validation","0","0","1","0","0"
"EcoNews Management","Create News","Cancel button behavior","0","0","1","0","0"
