"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 10 11:58:25 UTC 2026","Tue Feb 10 11:58:30 UTC 2026","5030","Surefire suite","Surefire test","org.greencity.ui.EditNews.EditOwnNewsTest","org.greencity.ui.EditNews.EditOwnNewsTest","verifyAuthorCanEditOwnNews","verifyAuthorCanEditOwnNews","Verify that the author can edit their own news and the changes are saved"
"passed","Tue Feb 10 12:02:29 UTC 2026","Tue Feb 10 12:02:30 UTC 2026","598","Surefire suite","Surefire test","org.greencity.ui.CreateNews.PreviewPageTest","org.greencity.ui.CreateNews.PreviewPageTest","checkPreviewPage","checkPreviewPage","Verify that the Preview page displays the correct news title, content, author name, and creation date, and that the 'Back to Create News' button redirects correctly"
"passed","Tue Feb 10 12:03:05 UTC 2026","Tue Feb 10 12:03:05 UTC 2026","116","Surefire suite","Surefire test","org.greencity.ui.CreateNews.UploadImageTest","org.greencity.ui.CreateNews.UploadImageTest","imgUploadTooLargeNegative","imgUploadTooLargeNegative","The test checks validation when loading an image that is too large"
"passed","Tue Feb 10 11:56:14 UTC 2026","Tue Feb 10 11:56:15 UTC 2026","777","Surefire suite","Surefire test","org.greencity.ui.FirstTest","org.greencity.ui.FirstTest","secondTest","secondTest",""
"passed","Tue Feb 10 11:58:41 UTC 2026","Tue Feb 10 11:59:41 UTC 2026","60249","Surefire suite","Surefire test","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","verifyEditButtonNotVisibleToOtherUsers","verifyEditButtonNotVisibleToOtherUsers","Verify that the 'Edit news' button is not visible for news created by other users"
"passed","Tue Feb 10 11:59:52 UTC 2026","Tue Feb 10 11:59:53 UTC 2026","1257","Surefire suite","Surefire test","org.greencity.ui.TagSelectionTest","org.greencity.ui.TagSelectionTest","checkFourTagsSelection","checkFourTagsSelection",""
"skipped","Tue Feb 10 12:00:17 UTC 2026","Tue Feb 10 12:00:17 UTC 2026","1","Surefire suite","Surefire test","org.greencity.ui.CreateNews.SourceValidationTest","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldValidation","SourceFieldValidation","Verify that news can be published with empty Source field"
"unknown","Tue Feb 10 11:56:08 UTC 2026","Tue Feb 10 11:56:08 UTC 2026","1","Surefire suite","Surefire test","org.greencity.ui.CreateNews.ContentValidationTest","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogic63206","verifyContentValidationAndPublishButtonLogic63206","Stress test: verify that the content is truncated correctly to 63,206 symbols"
"passed","Tue Feb 10 11:59:47 UTC 2026","Tue Feb 10 11:59:47 UTC 2026","216","Surefire suite","Surefire test","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","org.greencity.ui.EditNews.EditNewsButtonVisibilityTest","verifyEditButtonVisibleToAuthor","verifyEditButtonVisibleToAuthor","Verify that the 'Edit news' button is visible only to the author of the news"
"passed","Tue Feb 10 11:56:20 UTC 2026","Tue Feb 10 11:58:20 UTC 2026","120737","Surefire suite","Surefire test","org.greencity.ui.EditNews.CancelEditingTest","org.greencity.ui.EditNews.CancelEditingTest","CancelEditing","CancelEditing","Verify that clicking the Cancel button during editing triggers a confirmation modal, and selecting 'Yes, cancel' closes the editor"
"passed","Tue Feb 10 11:56:11 UTC 2026","Tue Feb 10 11:56:12 UTC 2026","1576","Surefire suite","Surefire test","org.greencity.ui.FirstTest","org.greencity.ui.FirstTest","isLogin","isLogin",""
"passed","Tue Feb 10 12:00:05 UTC 2026","Tue Feb 10 12:00:06 UTC 2026","1202","Surefire suite","Surefire test","org.greencity.ui.TagSelectionTest","org.greencity.ui.TagSelectionTest","checkThreeTagsSelection","checkThreeTagsSelection",""
