"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the system returns error when replying to a reply","130","testReplyToPeplyShouldReturnError","TestSuite","Thu Feb 19 08:45:09 UTC 2026","passed","Thu Feb 19 08:45:09 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testReplyToPeplyShouldReturnError"
"","61005","checkOneTagSelection","TestSuite","Thu Feb 19 08:43:22 UTC 2026","failed","Thu Feb 19 08:44:23 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","checkOneTagSelection"
"Add EcoNews to favorites and then remove it (authorized)","243","addAndRemoveEcoNewsFavorites_authorized","TestSuite","Thu Feb 19 08:45:10 UTC 2026","passed","Thu Feb 19 08:45:10 UTC 2026","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithTokenTest","API Tests","org.greencity.api.EcoNewsById.FavoriteEcoNewsWithTokenTest","addAndRemoveEcoNewsFavorites_authorized"
"Verify that the Edit News form contains the particular fields in English locale","10454","verifyEditNewsFormFieldsVisibilityInEnglishLocale","TestSuite","Thu Feb 19 08:42:49 UTC 2026","passed","Thu Feb 19 08:42:59 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestEN","verifyEditNewsFormFieldsVisibilityInEnglishLocale"
"Verify that updating EcoNews without authorization returns 401 status code.","107","testUpdateEcoNewsByIdWithoutTokenShouldReturn401","TestSuite","Thu Feb 19 08:45:06 UTC 2026","passed","Thu Feb 19 08:45:06 UTC 2026","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","testUpdateEcoNewsByIdWithoutTokenShouldReturn401"
"Verify that the Preview page displays the correct news title, content, author name, and creation date, and that the 'Back to Create News' button redirects correctly","830","checkPreviewPage","TestSuite","Thu Feb 19 08:42:13 UTC 2026","failed","Thu Feb 19 08:42:14 UTC 2026","org.greencity.ui.CreateNews.PreviewPageTest","UI Tests","org.greencity.ui.CreateNews.PreviewPageTest","checkPreviewPage"
"Verify that an attempt to get likes count on non-existing Eco News returns 404 status code.","182","countNonExistingEcoNewsLikes","TestSuite","Thu Feb 19 08:45:10 UTC 2026","passed","Thu Feb 19 08:45:11 UTC 2026","org.greencity.api.EcoNewsById.CountEcoNewsLikesByIdWithoutTokenTest","API Tests","org.greencity.api.EcoNewsById.CountEcoNewsLikesByIdWithoutTokenTest","countNonExistingEcoNewsLikes"
"Verify that active replies are correctly sorted:
1. By createdDate in descending order
2. By modifiedDate in descending order
3. By multiple fields (createdDate, modifiedDate) in descending order

Also verifies:
- Correct page metadata
- Correct reply order positions
","1055","testSortByDates","TestSuite","Thu Feb 19 08:45:09 UTC 2026","passed","Thu Feb 19 08:45:10 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testSortByDates"
"This test verifies that an authorized user can successfully create a new EcoNews item with image and receive a valid response with generated ID and correct data.","338","createEcoNewsWithImageTest","TestSuite","Thu Feb 19 08:45:04 UTC 2026","passed","Thu Feb 19 08:45:04 UTC 2026","org.greencity.api.CreateEcoNewsTest","API Tests","org.greencity.api.CreateEcoNewsTest","createEcoNewsWithImageTest"
"Verify that deleting a non-existing EcoNews returns 404 Not Found","134","testDeleteNonExistingEcoNewsShouldReturn404","TestSuite","Thu Feb 19 08:45:05 UTC 2026","passed","Thu Feb 19 08:45:05 UTC 2026","org.greencity.api.EcoNewsById.DeleteEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.DeleteEcoNewsByIdTest","testDeleteNonExistingEcoNewsShouldReturn404"
