"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","423","secondTest","TestSuite","Wed Feb 18 16:27:48 UTC 2026","broken","Wed Feb 18 16:27:49 UTC 2026","org.greencity.ui.FirstTest","UI Tests","org.greencity.ui.FirstTest","secondTest"
"Verify that the system returns 404 Not Found when requesting replies for a non-existing comment.","224","testGetActiveRepliesShouldReturn404","TestSuite","Wed Feb 18 16:29:54 UTC 2026","passed","Wed Feb 18 16:29:54 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testGetActiveRepliesShouldReturn404"
"","0","removeAllTags","TestSuite","Wed Feb 18 16:28:36 UTC 2026","broken","Wed Feb 18 16:28:36 UTC 2026","org.greencity.ui.TagSelectionTest","UI Tests","org.greencity.ui.TagSelectionTest","removeAllTags"
"Verify that the publish button is enabled and the warning disappears when the content is valid","31155","verifyContentValidationAndPublishButtonLogicValidContent","TestSuite","Wed Feb 18 16:25:20 UTC 2026","broken","Wed Feb 18 16:25:51 UTC 2026","org.greencity.ui.CreateNews.ContentValidationTest","UI Tests","org.greencity.ui.CreateNews.ContentValidationTest","verifyContentValidationAndPublishButtonLogicValidContent"
"","0","deleteCommentTest","TestSuite","Wed Feb 18 16:29:47 UTC 2026","skipped","Wed Feb 18 16:29:47 UTC 2026","org.greencity.api.EcoNewsCommentTest","API Tests","org.greencity.api.EcoNewsCommentTest","deleteCommentTest"
"Verify that active replies for a comment can be retrieved when page size is set to 1.","493","testGetActiveRepliesWithSizeOne","TestSuite","Wed Feb 18 16:29:54 UTC 2026","passed","Wed Feb 18 16:29:55 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testGetActiveRepliesWithSizeOne"
"Verify that active replies for a comment can be retrieved successfully without query parameters.","508","testGetActiveRepliesDefault","TestSuite","Wed Feb 18 16:29:53 UTC 2026","passed","Wed Feb 18 16:29:54 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testGetActiveRepliesDefault"
"Verify that updating EcoNews without authorization returns 401 status code.","215","testUpdateEcoNewsByIdWithoutTokenShouldReturn401","TestSuite","Wed Feb 18 16:29:50 UTC 2026","passed","Wed Feb 18 16:29:50 UTC 2026","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","API Tests","org.greencity.api.EcoNewsById.UnauthorizedEcoNewsByIdTest","testUpdateEcoNewsByIdWithoutTokenShouldReturn401"
"Verify validation logic for invalid Source field and successful publish after correction","31487","SourceFieldNonValidValidation","TestSuite","Wed Feb 18 16:25:59 UTC 2026","broken","Wed Feb 18 16:26:30 UTC 2026","org.greencity.ui.CreateNews.SourceValidationTest","UI Tests","org.greencity.ui.CreateNews.SourceValidationTest","SourceFieldNonValidValidation"
"This test verifies that an authorized user can successfully create a new EcoNews item and receive a valid response with generated ID and correct data.","304","createEcoNewsSuccessTest","TestSuite","Wed Feb 18 16:29:47 UTC 2026","passed","Wed Feb 18 16:29:47 UTC 2026","org.greencity.api.CreateEcoNewsTest","API Tests","org.greencity.api.CreateEcoNewsTest","createEcoNewsSuccessTest"
"Verify that updating EcoNews with a specific image is successful","620","testUpdateEcoNewsByIdWithImage","TestSuite","Wed Feb 18 16:29:49 UTC 2026","passed","Wed Feb 18 16:29:50 UTC 2026","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","API Tests","org.greencity.api.EcoNewsById.EcoNewsByIdWithImageTest","testUpdateEcoNewsByIdWithImage"
"","556","addSubCommentTestWithImages","TestSuite","Wed Feb 18 16:29:47 UTC 2026","passed","Wed Feb 18 16:29:47 UTC 2026","org.greencity.api.EcoNewsCommentTest","API Tests","org.greencity.api.EcoNewsCommentTest","addSubCommentTestWithImages"
"The test checks validation error when uploading a GIF image (unsupported format)","145","imgUploadGIFNegative","TestSuite","Wed Feb 18 16:26:47 UTC 2026","passed","Wed Feb 18 16:26:47 UTC 2026","org.greencity.ui.CreateNews.UploadImageTest","UI Tests","org.greencity.ui.CreateNews.UploadImageTest","imgUploadGIFNegative"
"Verify the validation of the title field","1292","verifyTitleFieldAndPublishButtonLogic","TestSuite","Wed Feb 18 16:26:38 UTC 2026","passed","Wed Feb 18 16:26:39 UTC 2026","org.greencity.ui.CreateNews.TitleValidationTest","UI Tests","org.greencity.ui.CreateNews.TitleValidationTest","verifyTitleFieldAndPublishButtonLogic"
"This test verifies that the EcoNews page API returns correct pagination data and validates the first news item, including its ID, title, author details, and tags.","277","verifyEcoNewsPageDataTest","TestSuite","Wed Feb 18 16:29:48 UTC 2026","passed","Wed Feb 18 16:29:48 UTC 2026","org.greencity.api.EcoNewsTest","API Tests","org.greencity.api.EcoNewsTest","verifyEcoNewsPageDataTest"
"Verify that the Edit News form contains the particular fields in Ukrainian locale","10942","verifyEditNewsFormFieldsVisibilityInUkrainianLocale","TestSuite","Wed Feb 18 16:27:36 UTC 2026","passed","Wed Feb 18 16:27:47 UTC 2026","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","UI Tests","org.greencity.ui.EditNews.EditNewsFormVisibilityTestUA","verifyEditNewsFormFieldsVisibilityInUkrainianLocale"
"Verify that the system returns error when replying to a reply","232","testReplyToPeplyShouldReturnError","TestSuite","Wed Feb 18 16:29:54 UTC 2026","passed","Wed Feb 18 16:29:55 UTC 2026","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","API Tests","org.greencity.api.ecoNewsComment.EcoNewsCommentRepliesTest","testReplyToPeplyShouldReturnError"
