"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","EcoNews Management","1","Create News","2","0","Image upload validation for oversized files","0"
"2","","1","","9","0","","0"
"0","EcoNews Management","0","Create News","1","0","Cancel button behavior","0"
"1","EcoNews Management","0","Edit news page","0","1","Verify visibility and behavior of Edit News form in Ukrainian locale","0"
"0","EcoNews API","0","Create EcoNews","1","0","Verify that an authorized user can create a new EcoNews item","0"
"0","EcoNews API","0","Delete EcoNews","1","0","Delete non-existing EcoNews","0"
"1","EcoNews Management","0","Edit news page","0","1","Verify visibility and behavior of Edit News form in English locale","0"
"0","EcoNews API","0","CRUD operations with created news with image","1","0","Get EcoNews by ID","0"
"0","EcoNews API","0","CRUD operations with created news with image","1","0","Update EcoNews by ID with image","0"
"0","EcoNews Management","0","Create News","1","0","Verify visibility and behavior of Create News form in Ukrainian locale","0"
"0","EcoNews API","0","EcoNews CRUD without authorization","1","0","Update EcoNews without token","0"
"0","EcoNews Management","0","Create News","1","0","Verify visibility and behavior of Create News form in English locale","0"
"0","EcoNews API","0","Delete EcoNews","1","0","Delete existing EcoNews","0"
"0","EcoNews API","0","CRUD operations with created news with image","1","0","Get EcoNews in English and Ukrainian","0"
"1","EcoNews Management","0","Create News","2","0","Content field validation","1"
"0","EcoNews API","0","EcoNews CRUD without authorization","1","0","Delete EcoNews without token","0"
"0","EcoNews Management","1","Create News Preview","0","0","Verify preview page displays correct title, content, author and date","0"
"1","EcoNews Management","0","Create News","1","0","Source field validation","0"
"0","EcoNews API","0","CRUD operations with created news with image","1","0","Update EcoNews with invalid id, tag, title, content","0"
"0","EcoNews API","0","Update EcoNews without image","1","0","Update EcoNews without image","0"
"1","EcoNews Management","0","Edit news page","0","1","Cancel editing behavior","0"
"0","EcoNews API","0","CRUD operations with created news with image","1","0","Get non-existing EcoNews","0"
"0","EcoNews Management","0","Create News","1","0","Title field validation","0"
"0","EcoNews API","1","Retrieve EcoNews Page","0","0","Verify EcoNews page data for a specific author and favorite status","0"
